ContigID,Superkingdom,Realm,Kingdom,Phylum,Class,Order,Family,Subfamily,Genus,Species,Serotype,Isolate
LR861886.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 7,Human papillomavirus type 68a,Human papillomavirus type 68a isolate LNS3830231_HPV68
LR861884.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 6,Human papillomavirus type 53,Human papillomavirus type 53 isolate LNS3830231_HPV53
LR861883.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 10,Human papillomavirus type 55,Human papillomavirus type 55 isolate LNS3830231_HPV44
LR861882.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 10,Human papillomavirus type 6,Human papillomavirus type 6 isolate LNS3785675_HPV6
LR861876.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 6,Human papillomavirus type 53,Human papillomavirus type 53 isolate LNS3618728_HPV53
LR861873.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 7,Human papillomavirus type 68a,Human papillomavirus type 68a isolate LNS3546756_HPV68
LR861870.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 13,Human papillomavirus type 54,Human papillomavirus type 54 isolate LNS3425544_HPV54
LR861867.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 11,Human papillomavirus type 34,Human papillomavirus type 34 isolate LNS3425544_HPV34
LR861862.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 11,Human papillomavirus type 34,Human papillomavirus type 34 isolate LNS3106824_HPV34
LR861852.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 14,Human papillomavirus type 90,Human papillomavirus type 90 isolate LNS2781697_HPV90
